city,country,lat,lon
New York,United States,40.7128,-74.0060
Los Angeles,United States,34.0522,-118.2437
Chicago,United States,41.8781,-87.6298
Houston,United States,29.7604,-95.3698
Phoenix,United States,33.4484,-112.0740
Philadelphia,United States,39.9526,-75.1652
San Antonio,United States,29.4241,-98.4936
San Diego,United States,32.7157,-117.1611
Dallas,United States,32.7767,-96.7970
San Jose,United States,37.3382,-121.8863
Toronto,Canada,43.6532,-79.3832
Montreal,Canada,45.5017,-73.5673
Vancouver,Canada,49.2827,-123.1207
Calgary,Canada,51.0447,-114.0719
Mexico City,Mexico,19.4326,-99.1332
Guadalajara,Mexico,20.6597,-103.3496
Monterrey,Mexico,25.6866,-100.3161
São Paulo,Brazil,-23.5505,-46.6333
Rio de Janeiro,Brazil,-22.9068,-43.1729
Brasilia,Brazil,-15.7939,-47.8828
Buenos Aires,Argentina,-34.6037,-58.3816
Cordoba,Argentina,-31.4201,-64.1888
Santiago,Chile,-33.4489,-70.6693
Lima,Peru,-12.0464,-77.0428
Bogota,Colombia,4.7110,-74.0721
Caracas,Venezuela,10.4806,-66.9036
London,United Kingdom,51.5074,-0.1278
Manchester,United Kingdom,53.4808,-2.2426
Birmingham,United Kingdom,52.4862,-1.8904
Paris,France,48.8566,2.3522
Lyon,France,45.7640,4.8357
Marseille,France,43.2965,5.3698
Berlin,Germany,52.5200,13.4050
Hamburg,Germany,53.5511,9.9937
Munich,Germany,48.1351,11.5820
Cologne,Germany,50.9375,6.9603
Bonn,Germany,50.7374,7.0982
Frankfurt,Germany,50.1109,8.6821
Madrid,Spain,40.4168,-3.7038
Barcelona,Spain,41.3851,2.1734
Valencia,Spain,39.4699,-0.3763
Rome,Italy,41.9028,12.4964
Milan,Italy,45.4642,9.1900
Naples,Italy,40.8518,14.2681
Amsterdam,Netherlands,52.3676,4.9041
Rotterdam,Netherlands,51.9244,4.4777
Brussels,Belgium,50.8503,4.3517
Vienna,Austria,48.2082,16.3738
Zurich,Switzerland,47.3769,8.5417
Geneva,Switzerland,46.2044,6.1432
Prague,Czech Republic,50.0755,14.4378
Warsaw,Poland,52.2297,21.0122
Stockholm,Sweden,59.3293,18.0686
Oslo,Norway,59.9139,10.7522
Copenhagen,Denmark,55.6761,12.5683
Helsinki,Finland,60.1699,24.9384
Athens,Greece,37.9838,23.7275
Budapest,Hungary,47.4979,19.0402
Bucharest,Romania,44.4268,26.1025
Kyiv,Ukraine,50.4501,30.5234
Moscow,Russia,55.7558,37.6173
Saint Petersburg,Russia,59.9311,30.3609
Istanbul,Turkey,41.0082,28.9784
Ankara,Turkey,39.9334,32.8597
Cairo,Egypt,30.0444,31.2357
Alexandria,Egypt,31.2001,29.9187
Casablanca,Morocco,33.5731,-7.5898
Rabat,Morocco,34.0209,-6.8416
Algiers,Algeria,36.7538,3.0588
Tunis,Tunisia,36.8065,10.1815
Lagos,Nigeria,6.5244,3.3792
Abuja,Nigeria,9.0765,7.3986
Accra,Ghana,5.6037,-0.1870
Nairobi,Kenya,-1.2921,36.8219
Addis Ababa,Ethiopia,8.9806,38.7578
Johannesburg,South Africa,-26.2041,28.0473
Cape Town,South Africa,-33.9249,18.4241
Durban,South Africa,-29.8587,31.0218
Dubai,United Arab Emirates,25.2048,55.2708
Abu Dhabi,United Arab Emirates,24.4539,54.3773
Riyadh,Saudi Arabia,24.7136,46.6753
Jeddah,Saudi Arabia,21.4858,39.1925
Doha,Qatar,25.2854,51.5310
Tehran,Iran,35.6892,51.3890
Baghdad,Iraq,33.3152,44.3661
Karachi,Pakistan,24.8607,67.0011
Lahore,Pakistan,31.5204,74.3587
Mumbai,India,19.0760,72.8777
Delhi,India,28.7041,77.1025
Bangalore,India,12.9716,77.5946
Chennai,India,13.0827,80.2707
Kolkata,India,22.5726,88.3639
Dhaka,Bangladesh,23.8103,90.4125
Kathmandu,Nepal,27.7172,85.3240
Beijing,China,39.9042,116.4074
Shanghai,China,31.2304,121.4737
Guangzhou,China,23.1291,113.2644
Shenzhen,China,22.5431,114.0579
Hong Kong,China,22.3193,114.1694
Seoul,South Korea,37.5665,126.9780
Tokyo,Japan,35.6762,139.6503
Osaka,Japan,34.6937,135.5023
Taipei,Taiwan,25.0330,121.5654
Bangkok,Thailand,13.7563,100.5018
Singapore,Singapore,1.3521,103.8198
Jakarta,Indonesia,-6.2088,106.8456
Manila,Philippines,14.5995,120.9842
Ho Chi Minh City,Vietnam,10.8231,106.6297
Sydney,Australia,-33.8688,151.2093
Melbourne,Australia,-37.8136,144.9631
Brisbane,Australia,-27.4698,153.0251
Perth,Australia,-31.9505,115.8605
Auckland,New Zealand,-36.8509,174.7645
Wellington,New Zealand,-41.2866,174.7756
